timestamp,symbol,timeframe,signal,p_long,p_short,p_neutro,entry_price,tp_price,sl_price,dry_run,candles_treinados,outcome,exit_price,pnl_pct,resolved_at
2026-04-13T11:30:18.889073+00:00,BTC/USDT,1h,NEUTRO,0.222,0.2281,0.5499,70840.0,69423.2,72256.8,True,980,NEUTRO,,,
2026-04-13T11:49:12.563090+00:00,BTC/USDT,1h,NEUTRO,0.2661,0.3244,0.4095,70840.0,69423.2,72256.8,True,950,NEUTRO,,,
2026-04-13T13:00:25.702130+00:00,BTC/USDT,1h,NEUTRO,0.1794,0.3123,0.5083,70840.0,69423.2,72256.8,True,17453,NEUTRO,,,
2026-04-13T14:20:32.216368+00:00,BTC/USDT,1h,NEUTRO,0.2171,0.311,0.4719,71438.9,70010.122,72867.678,True,17455,NEUTRO,,,
2026-04-13T16:14:24.398839+00:00,BTC/USDT,1h,NEUTRO,0.3223,0.3691,0.3085,71818.5,70382.13,73254.87,True,17457,NEUTRO,,,
2026-04-13T17:00:28.690793+00:00,BTC/USDT,1h,NEUTRO,0.3363,0.3878,0.2758,72148.1,70705.138,73591.062,True,17458,NEUTRO,,,
2026-04-13T17:16:58.083101+00:00,BTC/USDT,15m,NEUTRO,0.1713,0.1736,0.655,72167.6,70724.248,73610.952,True,69963,NEUTRO,,,
